Year,Country,Month,Tourist_Arrival,Date,Quarter,Season,Region
2018,India,3,30583,2018-03-01,1,Maha Season,Asia
2018,China,3,21101,2018-03-01,1,Maha Season,Asia
2018,United Kingdom,3,30366,2018-03-01,1,Maha Season,Europe
2018,Germany,3,24423,2018-03-01,1,Maha Season,Europe
2018,Australia,3,8932,2018-03-01,1,Maha Season,Oceania
2018,France,3,14818,2018-03-01,1,Maha Season,Europe
2018,Maldives,3,7239,2018-03-01,1,Maha Season,Asia
2018,United States,3,9701,2018-03-01,1,Maha Season,North America
2018,Russia,3,9089,2018-03-01,1,Maha Season,Europe
2018,Netherlands,3,4532,2018-03-01,1,Maha Season,Europe
2018,Canada,3,5113,2018-03-01,1,Maha Season,North America
2018,Japan,3,4629,2018-03-01,1,Maha Season,Asia
2018,Italy,3,4157,2018-03-01,1,Maha Season,Europe
2018,Ukraine,3,3532,2018-03-01,1,Maha Season,Europe
2018,Saudi Arabia,3,997,2018-03-01,1,Maha Season,Asia
2018,Switzerland,3,3682,2018-03-01,1,Maha Season,Europe
2018,Spain,3,2452,2018-03-01,1,Maha Season,Europe
2018,Sweden,3,3109,2018-03-01,1,Maha Season,Europe
2018,Malaysia,3,1994,2018-03-01,1,Maha Season,Asia
2018,Poland,3,1676,2018-03-01,1,Maha Season,Europe
2018,Singapore,3,1809,2018-03-01,1,Maha Season,Asia
2018,Austria,3,2573,2018-03-01,1,Maha Season,Europe
2018,Philippines,3,1775,2018-03-01,1,Maha Season,Asia
2018,Denmark,3,2227,2018-03-01,1,Maha Season,Europe
2018,Pakistan,3,1589,2018-03-01,1,Maha Season,Asia
2018,Czechia,3,2674,2018-03-01,1,Maha Season,Europe
2018,Belgium,3,1666,2018-03-01,1,Maha Season,Europe
2018,Norway,3,1784,2018-03-01,1,Maha Season,Europe
2018,South Korea,3,1398,2018-03-01,1,Maha Season,Asia
2018,Israel,3,1255,2018-03-01,1,Maha Season,Asia
2018,New Zealand,3,1004,2018-03-01,1,Maha Season,Oceania
2018,Ireland,3,1470,2018-03-01,1,Maha Season,Europe
